medicine,diseases
Iron therapy,hemolysis
anticoagulant,hemorrhage
Na citrate,B twelve deficiency
EDTA,iron deficiency anemia
bronchi dilators,Reticulocytosis
steroid,bone marrow aplasia
ampicillin,aplastic anemia
treatment of exacerbation,ESR
influenza vaccine   ,myocardial infarction 
diuretics  ,pulmonary embolism
,rheumatoid
,leukaemia
,Lymphoma
,peptic ulcer
,varices
,hematemesis
,recurrent bleeding
,normocytic
,macrocytosis
,microcytosis
,hypochromia
,anisocytosis
,punctuate basophilia  
,malaria
,parasites
,myelofibrosis
,nausea
,irritation
,iron intolerance
,thalassemia minor
,chronic infection
,cytokines
,Hypoxia
,hemolytic crisis
,anemic heart failure
,hemic murmur 
,chronic obstructive pulmonary disease
,emphysema
,chronic bronchitis
,chronic irritation
,chronic infection
,chronic productive cough
,element of bronchi spasm  
,chest infection   
,respiratory failure
,Inter current infection
,puffiness
,cyanosis
,bronchogenic carcinoma
,congested neck vein  
,lower limb edema  
,Right sided heart failure 
,hypoxic hypercapnia 
,peptic ulcers
,aminophylline 
,smoking  hypoxia and hypercapnia
,cor pulmonale
,right ventricular enlargement 
,right axis deviation  
,bronchial drainage
,bronchial asthma
,allergic element  
,intercurrent infection
,pulmonary hypertension
,alpha one antitrypsin deficiency
,congenital emphysema
,obstructive hypoventilation 
,blue bloater
,pink puffer
,expiratory filling of neck vein
